CADATT_ENUM;CADBLOCK_ATTVAL;INVCAD_CADBLOCKATTVAL
l_r2_code;AMx;AMx
l_r2_code;BDx;BDx
l_r2_code;CFx;CFx
l_r2_code;CHx;CHx
l_r2_code;DJx;DJx
l_r2_code;LLx;LLx
l_r2_code;LMx;LMx
l_r2_code;LYx;LYx
l_r2_code;MNx;MNx
l_r2_code;MPx;MPx
l_r2_code;MRx;MRx
l_r2_code;NTx;NTx
l_r2_code;PEx;PEx
l_r2_code;PNx;PNx
l_r2_code;PSE;PSE
l_r2_code;PSL;PSL
l_r2_code;PRG;PRG
l_r2_code;RNx;RNx
l_r2_code;ROx;ROx
l_r2_code;RSx;RSx
l_r2_code;STx;STx
l_r2_code;TLx;TLx
l_r2_code;TRx;TRx
l_r2_desc;Région d'Amiens;AMx
l_r2_desc;Région de Bordeaux;BDx
l_r2_desc;Région de Clermont-Ferrand;CFx
l_r2_desc;Région de Chambéry;CHx
l_r2_desc;Région de Dijon;DJx
l_r2_desc;Région de Lille;LLx
l_r2_desc;Région de Limoges;LMx
l_r2_desc;Région de Lyon;LYx
l_r2_desc;Région de Metz-Nancy;MNx
l_r2_desc;Région de Montpellier;MPx
l_r2_desc;Région de Marseille;MRx
l_r2_desc;Région de Nantes;NTx
l_r2_desc;Région de Paris - Est;PEx
l_r2_desc;Région de Paris - Nord;PNx
l_r2_desc;Région de Paris - Sud Est ;PSE
l_r2_desc;Région de Paris - Saint-Lazare;PSL
l_r2_desc;Région de Paris - Rive Gauche;PRG
l_r2_desc;Région de Rennes;RNx
l_r2_desc;Région de Rouen;ROx
l_r2_desc;Région de Reims;RSx
l_r2_desc;Région de Strasbourg;STx
l_r2_desc;Région de Toulouse;TLx
l_r2_desc;Région de Tours;TRx
l_statut;DIx;DIx
l_statut;AVP;AVP
l_statut;PRO;PRO
l_statut;APO;APO
l_statut;REA;REA
l_statut;REC;REC
l_statut;MEX;MEX
l_statut_desc;Dossier d'Initialisation;DIx
l_statut_desc;Avant-Projet;AVP
l_statut_desc;Projet;PRO
l_statut_desc;Avant-Projet et Projet;APO
l_statut_desc;Dossier de réalisation;REA
l_statut_desc;Récolement;REC
l_statut_desc;Maintenance et exploitation;MEX
l_doc_type;PDV;PDV
l_doc_type;TEL;TEL
l_doc_type;PDP;PDP
l_doc_type;CEM;CEM
l_doc_type;SGE;SGE
l_doc_type;;
l_doc_type;;
l_doc_type;;
l_proj;27561;27561
l_proj;27562;27562
l_proj;27563;27563
l_proj;27564;27564
l_proj;27572;27572
l_proj;3942;3942
l_proj;3943;3943
l_proj;3944;3944
l_proj;3945;3945
l_proj;3946;3946
l_proj;3947;3947
l_proj;3948;3948
l_proj;3949;3949
l_proj;3950;3950
l_proj;2154;2154
l_proj_desc;NTF Lambert I zone Nord;27561
l_proj_desc;NTF Lambert II zone Centre;27562
l_proj_desc;NTF Lambert III zone Sud;27563
l_proj_desc;NTF Lambert IV zone Corse;27564
l_proj_desc;NTF Lambert II étendu;27572
l_proj_desc;RGF93 - Lambert CC42 zone 1 (Corse) ;3942
l_proj_desc;RGF93 - Lambert CC43 zone 2 (Sud) ;3943
l_proj_desc;RGF93 - Lambert CC44 zone 3 (Sud) ;3944
l_proj_desc;RGF93 - Lambert CC45 zone 4 (Sud/Centre) ;3945
l_proj_desc;RGF93 - Lambert CC46 zone 5 (Centre);3946
l_proj_desc;RGF93 - Lambert CC47 zone 6 (Centre) ;3947
l_proj_desc;RGF93 - Lambert CC48 zone 7 (Centre/Nord) ;3948
l_proj_desc;RGF93 - Lambert CC49 zone 8 (Nord) ;3949
l_proj_desc;RGF93 - Lambert CC50 zone 9 (Nord) ;3950
l_proj_desc;RGF93 -  Lambert 93 ;2154
l_cb_action;existant;Existant
l_cb_action;à poser;AP-à-poser
l_cb_action;posé;Posé
l_cb_action;à déposer;AD-à-déposer
zapper;déposé;Déposé
l_pt_mate;Béton;Béton
l_pt_mate;Composite;Composite
l_pt_mate;Parpaing;Parpaing
l_pt_mate;Bois;Bois
l_pt_mate;Métal;Métal
zapper;PVC pour les coffrets si coffrets ?;
l_pt_tp_mate;Acier;Acier
l_pt_tp_mate;Béton;Béton
l_pt_tp_mate;Comp.;Composite
l_pt_tp_mate;Fonte;Fonte
l_cm_contexte;Galerie technique;Galerie-technique
l_cm_contexte;Hors emprise;Hors-emprise
l_cm_contexte;Intérieur;Intérieur
l_cm_contexte;PRa;PRa
l_cm_contexte;PRo;PRo
l_cm_contexte;Traversée CV;TCV-TraverséeCheminV
l_cm_contexte;Traversée R;TR-TraverséeRoute
l_cm_contexte;Traversée V;TV-TraverséeVoie
l_cm_contexte;Tranchée ouverte;TO-TranchéeOuverte
l_cm_contexte;Tunnel;TUnnel
zapper;Tranchée ferroviaire ?;
zapper;Traversée chemin planchéié ?;
zapper;ERP ?;
zapper;Besoins d'autres contextes à remonter dans Netgéo ?;
l_cm_modele;CBPM;CBPM
l_cm_modele;CBMM;CBMM
l_cm_modele;CBMM2;CBMM2
l_cm_modele;CBGM;CBGM
l_cm_modele;CBGM2;CBGM2
l_cm_modele;CBGM3;CBGM3
l_cm_modele;CBTGM;CBTGM
l_cm_modele;CBTGM2;CBTGM2
l_cm_modele;CBTGM3;CBTGM3
l_cm_modele;CBINT;CBINT
l_cm_modele;CBCINT;CBCINT
l_cm_modele;CBRER;CBRER
l_cm_modele;CBRATP;CBRATP
l_cm_modele;CBPiste larg.;CBPiste
