INVCAD_DOCTYPE;INVCAD_SCALE;INVCAD_OBJCLASS;INVCAD_OBJTYPE;CADENTITYTYPE;CADLAYERS;CADCOLORS;CADLINETYPES;CADLGLOB;CADLINETHICKNESS;CADDIMSTYLES;CADDIMSCALE;CADTEXTSTYLES;CADTEXTSIZES;CADBLOCKS;CADSCALEBLOCK;CADMSG
FH-FuniculaireHaut;1000;alt1;Acces;CADBLOCKATT;P_TLFO_FUN1;ByLayer;ByLayer;;;;;;;fun_h_acces;1;
FH-FuniculaireHaut;500;alt1;Acces;CADBLOCKATT;P_TLFO_FUN1;ByLayer;ByLayer;;;;;;;fun_h_acces;0.5;
FH-FuniculaireHaut;200;alt1;Acces;CADBLOCKATT;P_TLFO_FUN1;ByLayer;ByLayer;;;;;;;fun_h_acces;0.2;
FH-FuniculaireHaut;1000;alt2;Acces;CADBLOCKATT;P_TLFO_FUN2;ByLayer;ByLayer;;;;;;;fun_h_acces;1;
FH-FuniculaireHaut;500;alt2;Acces;CADBLOCKATT;P_TLFO_FUN2;ByLayer;ByLayer;;;;;;;fun_h_acces;0.5;
FH-FuniculaireHaut;200;alt2;Acces;CADBLOCKATT;P_TLFO_FUN2;ByLayer;ByLayer;;;;;;;fun_h_acces;0.2;
FH-FuniculaireHaut;1000;alt3;Acces;CADBLOCKATT;P_TLFO_FUN3;ByLayer;ByLayer;;;;;;;fun_h_acces;1;
FH-FuniculaireHaut;500;alt3;Acces;CADBLOCKATT;P_TLFO_FUN3;ByLayer;ByLayer;;;;;;;fun_h_acces;0.5;
FH-FuniculaireHaut;200;alt3;Acces;CADBLOCKATT;P_TLFO_FUN3;ByLayer;ByLayer;;;;;;;fun_h_acces;0.2;
FB-FuniculaireBas;1000;alt1;Acces;CADBLOCKATT;P_TLFO_FUN1;ByLayer;ByLayer;;;;;;;fun_b_acces;1;
FB-FuniculaireBas;500;alt1;Acces;CADBLOCKATT;P_TLFO_FUN1;ByLayer;ByLayer;;;;;;;fun_b_acces;0.5;
FB-FuniculaireBas;200;alt1;Acces;CADBLOCKATT;P_TLFO_FUN1;ByLayer;ByLayer;;;;;;;fun_b_acces;0.2;
FB-FuniculaireBas;1000;alt2;Acces;CADBLOCKATT;P_TLFO_FUN2;ByLayer;ByLayer;;;;;;;fun_b_acces;1;
FB-FuniculaireBas;500;alt2;Acces;CADBLOCKATT;P_TLFO_FUN2;ByLayer;ByLayer;;;;;;;fun_b_acces;0.5;
FB-FuniculaireBas;200;alt2;Acces;CADBLOCKATT;P_TLFO_FUN2;ByLayer;ByLayer;;;;;;;fun_b_acces;0.2;
FB-FuniculaireBas;1000;alt3;Acces;CADBLOCKATT;P_TLFO_FUN3;ByLayer;ByLayer;;;;;;;fun_b_acces;1;
FB-FuniculaireBas;500;alt3;Acces;CADBLOCKATT;P_TLFO_FUN3;ByLayer;ByLayer;;;;;;;fun_b_acces;0.5;
FB-FuniculaireBas;200;alt3;Acces;CADBLOCKATT;P_TLFO_FUN3;ByLayer;ByLayer;;;;;;;fun_b_acces;0.2;
Concessionnaires;*;Réseaux;AC-clim-chauffage;Polyline;A_RZO__CLIM;ByLayer;ByLayer;;;;;;;;;
Reseau-Telecom;*;Poteau;BEton;BlockRef;P_TLFO_POINTS;ByLayer;ByLayer;;;;;;;po_beton;1;
Reseau-Telecom;*;Poteau;BOis;BlockRef;P_TLFO_POINTS;ByLayer;ByLayer;;;;;;;po_bois;1;
Reseau-Telecom;*;Regard;Carré;BlockRef;P_TLFO_POINTS;ByLayer;ByLayer;;;;;;;reg_carre;1;
Grid;200;alt1;Carroyage;DTGrid;0;ByLayer;ByLayer;;;;;;;;;
Grid;200;alt2;Carroyage;DTGrid;0;ByLayer;ByLayer;;;;;;;;;
Grid;200;alt3;Carroyage;DTGrid;0;ByLayer;ByLayer;;;;;;;;;
Grid;500;alt1;Carroyage;DTGrid;0;ByLayer;ByLayer;;;;;;;;;
Grid;500;alt2;Carroyage;DTGrid;0;ByLayer;ByLayer;;;;;;;;;
Grid;500;alt3;Carroyage;DTGrid;0;ByLayer;ByLayer;;;;;;;;;
Grid;1000;alt1;Carroyage;DTGrid;0;ByLayer;ByLayer;;;;;;;;;
Grid;1000;alt2;Carroyage;DTGrid;0;ByLayer;ByLayer;;;;;;;;;
Grid;1000;alt3;Carroyage;DTGrid;0;ByLayer;ByLayer;;;;;;;;;
Plan;*;EP-EspacePapier;Cartouche;CADBLOCKATT;P_CART_D;ByLayer;ByLayer;;;;;;;CART_PROJET_TEL;1;Copier les fichiers image des logos dans le répertoire courant
FH-FuniculaireHaut;1000;alt1;CD-CableDroite;CADBLOCKATT;P_TLFO_FUN1;ByLayer;ByLayer;;;;;;;fun_hd_cb;1;Choisir le nombre de tubes avec le paramètre de visibilité
FH-FuniculaireHaut;500;alt1;CD-CableDroite;CADBLOCKATT;P_TLFO_FUN1;ByLayer;ByLayer;;;;;;;fun_hd_cb;0.5;Choisir le nombre de tubes avec le paramètre de visibilité
FH-FuniculaireHaut;200;alt1;CD-CableDroite;CADBLOCKATT;P_TLFO_FUN1;ByLayer;ByLayer;;;;;;;fun_hd_cb;0.2;Choisir le nombre de tubes avec le paramètre de visibilité
FH-FuniculaireHaut;1000;alt2;CD-CableDroite;CADBLOCKATT;P_TLFO_FUN2;ByLayer;ByLayer;;;;;;;fun_hd_cb;1;Choisir le nombre de tubes avec le paramètre de visibilité
FH-FuniculaireHaut;500;alt2;CD-CableDroite;CADBLOCKATT;P_TLFO_FUN2;ByLayer;ByLayer;;;;;;;fun_hd_cb;0.5;Choisir le nombre de tubes avec le paramètre de visibilité
FH-FuniculaireHaut;200;alt2;CD-CableDroite;CADBLOCKATT;P_TLFO_FUN2;ByLayer;ByLayer;;;;;;;fun_hd_cb;0.2;Choisir le nombre de tubes avec le paramètre de visibilité
FH-FuniculaireHaut;1000;alt3;CD-CableDroite;CADBLOCKATT;P_TLFO_FUN3;ByLayer;ByLayer;;;;;;;fun_hd_cb;1;Choisir le nombre de tubes avec le paramètre de visibilité
FH-FuniculaireHaut;500;alt3;CD-CableDroite;CADBLOCKATT;P_TLFO_FUN3;ByLayer;ByLayer;;;;;;;fun_hd_cb;0.5;Choisir le nombre de tubes avec le paramètre de visibilité
FH-FuniculaireHaut;200;alt3;CD-CableDroite;CADBLOCKATT;P_TLFO_FUN3;ByLayer;ByLayer;;;;;;;fun_hd_cb;0.2;Choisir le nombre de tubes avec le paramètre de visibilité
FB-FuniculaireBas;1000;alt1;CD-CableDroite;CADBLOCKATT;P_TLFO_FUN1;ByLayer;ByLayer;;;;;;;fun_bd_cb;1;Choisir le nombre de tubes avec le paramètre de visibilité
FB-FuniculaireBas;500;alt1;CD-CableDroite;CADBLOCKATT;P_TLFO_FUN1;ByLayer;ByLayer;;;;;;;fun_bd_cb;0.5;Choisir le nombre de tubes avec le paramètre de visibilité
FB-FuniculaireBas;200;alt1;CD-CableDroite;CADBLOCKATT;P_TLFO_FUN1;ByLayer;ByLayer;;;;;;;fun_bd_cb;0.2;Choisir le nombre de tubes avec le paramètre de visibilité
FB-FuniculaireBas;1000;alt2;CD-CableDroite;CADBLOCKATT;P_TLFO_FUN2;ByLayer;ByLayer;;;;;;;fun_bd_cb;1;Choisir le nombre de tubes avec le paramètre de visibilité
FB-FuniculaireBas;500;alt2;CD-CableDroite;CADBLOCKATT;P_TLFO_FUN2;ByLayer;ByLayer;;;;;;;fun_bd_cb;0.5;Choisir le nombre de tubes avec le paramètre de visibilité
FB-FuniculaireBas;200;alt2;CD-CableDroite;CADBLOCKATT;P_TLFO_FUN2;ByLayer;ByLayer;;;;;;;fun_bd_cb;0.2;Choisir le nombre de tubes avec le paramètre de visibilité
FB-FuniculaireBas;1000;alt3;CD-CableDroite;CADBLOCKATT;P_TLFO_FUN3;ByLayer;ByLayer;;;;;;;fun_bd_cb;1;Choisir le nombre de tubes avec le paramètre de visibilité
FB-FuniculaireBas;500;alt3;CD-CableDroite;CADBLOCKATT;P_TLFO_FUN3;ByLayer;ByLayer;;;;;;;fun_bd_cb;0.5;Choisir le nombre de tubes avec le paramètre de visibilité
FB-FuniculaireBas;200;alt3;CD-CableDroite;CADBLOCKATT;P_TLFO_FUN3;ByLayer;ByLayer;;;;;;;fun_bd_cb;0.2;Choisir le nombre de tubes avec le paramètre de visibilité
FH-FuniculaireHaut;1000;alt1;CG-CableGauche;CADBLOCKATT;P_TLFO_FUN1;ByLayer;ByLayer;;;;;;;fun_hg_cb;1;Choisir le nombre de tubes avec le paramètre de visibilité
FH-FuniculaireHaut;500;alt1;CG-CableGauche;CADBLOCKATT;P_TLFO_FUN1;ByLayer;ByLayer;;;;;;;fun_hg_cb;0.5;Choisir le nombre de tubes avec le paramètre de visibilité
